Date,Open
3/1/2009,3.147142887
4/1/2009,3.717499971
5/1/2009,4.492856979
6/1/2009,4.873929024
7/1/2009,5.125
8/1/2009,5.90035677
9/1/2009,5.999642849
10/1/2009,6.619643211
11/1/2009,6.778571129
12/1/2009,7.222856998
1/1/2010,7.622499943
2/1/2010,6.870357037
3/1/2010,7.348214149
4/1/2010,8.478928566
5/1/2010,9.422857285
6/1/2010,9.274642944
7/1/2010,9.08214283
8/1/2010,9.301428795
9/1/2010,8.838213921
10/1/2010,10.21964264
11/1/2010,10.79357147
12/1/2010,11.2596426
1/1/2011,11.63000011
2/1/2011,12.18928623
3/1/2011,12.69535732
4/1/2011,12.53964329
5/1/2011,12.49071407
6/1/2011,12.45964336
7/1/2011,11.99821377
8/1/2011,14.20642853
9/1/2011,13.77928638
10/1/2011,13.58464336
11/1/2011,14.19321442
12/1/2011,13.66214275
1/1/2012,14.62142944
2/1/2012,16.37178612
3/1/2012,19.57749939
4/1/2012,21.49392891
5/1/2012,20.88928604
6/1/2012,20.32714272
7/1/2012,20.88321495
8/1/2012,21.99678612
9/1/2012,23.77714348
10/1/2012,23.96999931
11/1/2012,21.36499977
12/1/2012,21.20178604
1/1/2013,19.77928543
2/1/2013,16.39678574
3/1/2013,15.6428566
4/1/2013,15.78214264
5/1/2013,15.8735714
6/1/2013,16.09749985
7/1/2013,14.38178635
8/1/2013,16.2767868
9/1/2013,17.61071396
10/1/2013,17.08749962
11/1/2013,18.71500015
12/1/2013,19.9285717
1/1/2014,19.84571457
2/1/2014,17.95035744
3/1/2014,18.69357109
4/1/2014,19.20571327
5/1/2014,21.1428566
6/1/2014,22.6414299
7/1/2014,23.37999916
8/1/2014,23.72500038
9/1/2014,25.76499939
10/1/2014,25.14749908
11/1/2014,27.05500031
12/1/2014,29.70249939
1/1/2015,27.84749985
2/1/2015,29.51250076
3/1/2015,32.3125
4/1/2015,31.20499992
5/1/2015,31.52499962
6/1/2015,32.56999969
7/1/2015,31.72500038
8/1/2015,30.375
9/1/2015,27.53750038
10/1/2015,27.26749992
11/1/2015,30.20000076
12/1/2015,29.6875
1/1/2016,25.65250015
2/1/2016,24.11750031
3/1/2016,24.41250038
4/1/2016,27.19499969
5/1/2016,23.49250031
6/1/2016,24.75499916
7/1/2016,23.87249947
8/1/2016,26.10250092
9/1/2016,26.53499985
10/1/2016,28.17749977
11/1/2016,28.36499977
12/1/2016,27.59250069
1/1/2017,28.95000076
2/1/2017,31.75749969
3/1/2017,34.47249985
4/1/2017,35.92750168
5/1/2017,36.27500153
6/1/2017,38.29249954
7/1/2017,36.22000122
8/1/2017,37.27500153
9/1/2017,41.20000076
10/1/2017,38.56499863
11/1/2017,42.46749878
12/1/2017,42.48749924
1/1/2018,42.54000092
2/1/2018,41.79249954
3/1/2018,44.63499832
4/1/2018,41.65999985
5/1/2018,41.60250092
6/1/2018,46.99750137
7/1/2018,45.95500183
8/1/2018,49.78250122
9/1/2018,57.10250092
10/1/2018,56.98749924
11/1/2018,54.76250076
12/1/2018,46.11500168
1/1/2019,38.72249985
2/1/2019,41.74000168
3/1/2019,43.56999969
4/1/2019,47.90999985
5/1/2019,52.47000122
6/1/2019,43.90000153
7/1/2019,50.79249954
8/1/2019,53.47499847
9/1/2019,51.60749817
10/1/2019,56.26750183
11/1/2019,62.38499832
12/1/2019,66.81749725
1/1/2020,74.05999756
2/1/2020,76.07499695
3/1/2020,70.56999969
4/1/2020,61.625
5/1/2020,71.5625
6/1/2020,79.4375
7/1/2020,91.27999878
8/1/2020,108.1999969
9/1/2020,132.7599945
10/1/2020,117.6399994
11/1/2020,109.1100006
12/1/2020,121.0100021
1/1/2021,133.5200043
2/1/2021,133.75
3/1/2021,123.75
4/1/2021,123.6600037
5/1/2021,132.0399933
6/1/2021,125.0800018
7/1/2021,136.6000061
8/1/2021,146.3600006
9/1/2021,152.8300018
10/1/2021,141.8999939
11/1/2021,148.9900055
12/1/2021,167.4799957
1/1/2022,177.8300018
2/1/2022,174.0099945
3/1/2022,164.6999969
4/1/2022,174.0299988
5/1/2022,156.7100067
6/1/2022,149.8999939
7/1/2022,136.0399933
8/1/2022,161.0099945
9/1/2022,156.6399994
10/1/2022,138.2100067
11/1/2022,155.0800018
12/1/2022,148.2100067
1/1/2023,130.2799988
2/1/2023,143.9700012
3/1/2023,146.8300018
4/1/2023,164.2700043
5/1/2023,169.2799988
6/1/2023,177.6999969
7/1/2023,193.7799988
8/1/2023,196.2400055
9/1/2023,189.4900055
10/1/2023,171.2200012
11/1/2023,171
12/1/2023,190.3300018
